Please note these are with OpenCV standard ranges
Mean H, Mean S, Mean V
88.88027426160338,37.1728199718706,190.36040787623065
Stdev H, Stdev S, Stdev V
1.52057309617602,3.014880989073871,2.8113181640597498
Median H, Median S, Median V
89.0,38.0,191.0

H, S, V
89,42,190
89,42,191
89,41,191
89,41,191
89,40,190
89,39,190
88,37,190
88,35,190
87,32,191
90,42,191
90,41,193
91,40,194
91,40,194
91,40,194
91,40,193
91,40,193
91,40,193
90,40,194
90,41,195
90,42,193
90,42,187
90,42,188
90,41,190
90,41,190
89,41,191
89,40,191
90,40,190
89,40,190
89,38,189
88,36,189
87,33,189
87,30,190
89,42,191
89,41,190
89,41,190
89,41,191
89,40,192
90,40,193
90,40,193
90,40,193
90,40,192
90,40,192
90,40,193
89,40,194
89,40,194
89,41,192
89,41,191
90,41,189
90,41,189
90,41,188
90,41,188
90,41,188
90,41,188
90,40,190
90,40,190
90,40,191
90,40,191
90,40,191
90,40,190
89,40,189
89,39,189
88,37,188
87,34,188
87,30,189
86,27,191
87,41,195
87,42,195
87,42,193
88,41,192
88,40,191
88,40,191
88,40,192
88,40,192
89,40,192
89,40,192
89,40,192
89,40,193
89,40,193
89,40,193
88,40,193
88,40,193
88,40,192
89,40,191
89,40,190
90,40,190
91,39,191
91,39,191
91,39,191
91,39,191
91,39,191
91,39,191
91,39,191
91,39,191
91,39,191
91,39,191
91,39,192
91,39,192
91,39,192
91,39,191
90,39,191
90,40,190
89,40,189
89,39,188
88,38,188
87,35,188
87,31,189
86,28,190
85,24,195
92,40,193
91,40,194
90,40,193
90,40,191
89,40,190
89,40,189
88,40,190
87,40,191
87,41,193
87,41,194
86,41,195
87,41,194
87,40,193
87,40,193
88,39,192
88,39,192
88,40,192
88,40,192
88,40,191
88,39,192
88,39,193
88,39,194
88,39,193
88,39,192
88,39,192
88,40,192
88,40,191
89,39,191
90,39,192
91,39,192
91,39,192
91,39,192
91,39,192
91,38,193
91,38,194
91,38,195
91,38,195
91,38,194
91,38,194
91,38,194
91,38,193
91,39,192
91,39,191
91,40,190
90,40,189
89,40,188
89,40,188
88,38,188
87,35,188
87,32,189
86,29,190
85,25,193
91,38,191
91,38,190
92,38,189
92,38,189
91,38,190
91,39,192
91,39,192
90,39,190
89,39,189
88,40,188
88,40,189
