Mean R, Mean G, Mean B
162.72713310580204,190.18976109215018,189.16860068259385
Stdev R, Stdev G, Stdev B
3.929469604331015,2.867345446365566,2.754438630938005
Median R, Median G, Median B
162.0,190.0,189.0

R, G, B
154,184,187
155,186,188
157,186,188
158,187,188
159,187,187
161,188,187
163,188,186
166,190,187
170,192,189
152,185,186
154,185,187
157,187,189
161,190,193
162,190,194
160,189,192
158,187,190
157,187,189
156,187,189
154,187,189
153,187,189
153,187,188
152,184,187
154,185,188
156,186,188
157,188,189
159,189,189
160,189,189
160,189,187
161,188,187
163,189,187
166,191,189
170,194,191
152,186,187
154,187,188
156,187,189
159,189,191
163,191,194
164,192,195
163,191,194
160,189,192
159,189,191
159,190,192
159,191,193
157,191,192
155,190,190
154,188,188
154,186,187
155,186,188
152,185,187
151,185,187
152,185,187
153,185,187
154,186,188
156,187,189
158,189,190
160,190,190
160,191,190
160,190,189
160,189,188
161,189,188
164,190,189
167,192,190
171,195,192
155,189,190
154,188,189
153,188,188
154,188,189
156,189,190
159,190,192
162,192,194
164,193,196
165,194,196
164,192,195
162,191,193
161,191,193
162,192,194
162,194,195
160,193,194
157,191,192
155,188,189
155,187,187
156,188,188
158,189,189
158,190,190
156,189,190
155,188,189
154,187,188
153,186,188
154,186,188
154,187,188
156,188,189
157,190,190
159,191,190
160,192,190
160,191,190
160,190,189
161,190,189
162,190,189
164,191,189
167,192,190
172,194,192
154,188,189
156,189,190
157,190,191
157,190,190
156,189,189
155,188,188
156,188,189
158,190,191
161,192,193
163,193,195
165,194,196
165,194,196
164,193,195
163,192,194
162,192,194
163,193,195
163,194,195
161,194,194
158,192,192
156,189,189
156,188,188
158,189,189
159,190,190
160,191,191
159,191,191
157,190,190
156,188,189
155,187,188
154,186,187
154,187,187
155,187,187
157,189,188
159,190,189
160,191,190
160,191,190
160,191,190
160,190,189
161,190,189
162,190,189
165,190,189
168,191,189
172,193,191
155,188,189
156,189,190
158,190,190
159,192,191
160,192,192
160,192,191
159,191,190
157,190,189
157,189,188
157,189,189
160,190,191
162,192,193
163,193,194
164,193,194
164,193,194
163,192,193
162,192,193
163,193,193
164,194,194
163,194,194
161,193,193
159,191,191
158,189,189
158,189,189
159,189,189
160,190,190
161,191,191
160,191,191
158,189,190
157,188,188
156,187,187
155,186,186
155,186,186
156,187,187
158,188,188
159,190,189
160,190,190
161,191,190
161,191,190
160,190,190
160,190,189
161,189,188
162,189,187
165,189,187
168,190,188
173,192,190
160,189,191
160,189,192
159,189,192
160,189,192
160,189,193
160,190,193
160,191,193
160,191,193
160,192,193
160,192,192
160,192,192
161,193,192
162,194,193
163,195,193
163,195,193
162,194,192
161,192,190
159,191,189
159,189,189
159,190,189
161,191,190
162,192,192
163,193,192
163,193,192
163,193,192
162,192,192
162,192,192
163,193,192
164,194,193
163,194,193
162,192,192
160,191,190
159,189,189
159,189,189
160,189,190
161,190,190
161,190,191
160,190,190
160,189,190
159,188,189
158,188,188
157,187,188
158,187,188
159,188,188
160,189,190
161,190,190
161,191,191
162,191,191
162,191,191
161,190,190
160,189,189
160,189,187
161,188,186
163,188,186
166,189,186
171,191,188
178,195,192
160,189,190
159,188,191
159,188,191
160,188,191
161,189,192
162,191,194
163,192,194
163,193,194
162,192,193
161,192,191
161,192,191
161,192,191
162,193,191
164,195,192
164,195,193
163,195,192
162,193,191
161,192,190
161,191,189
161,191,189
162,192,190
162,192,191
162,192,191
162,192,191
162,192,191
163,193,191
163,193,192
163,193,192
163,193,191
163,193,191
162,192,191
161,191,189
160,190,189
161,190,190
161,190,191
161,190,191
162,190,191
162,190,191
162,190,191
162,191,191
162,191,191
162,190,191
162,190,191
162,191,191
163,191,192
163,191,192
162,191,192
162,191,191
161,190,191
160,190,190
159,189,188
159,188,187
160,188,186
163,188,186
165,189,186
170,190,188
176,195,192
183,199,195
161,189,190
160,188,190
159,187,189
160,187,190
161,189,191
163,191,193
163,192,194
162,192,192
161,190,190
160,189,189
159,189,188
160,190,188
161,191,188
162,193,190
163,194,191
163,195,191
163,194,191
163,193,191
163,193,190
163,192,190
163,192,190
162,192,190
162,192,189
162,191,189
162,192,189
163,193,191
164,194,192
164,193,191
163,192,190
162,192,189
162,192,189
162,191,189
162,191,190
163,191,191
163,191,192
163,191,192
163,191,192
163,191,192
164,192,193
165,193,194
166,194,195
166,194,195
165,193,194
165,193,194
165,193,194
164,192,193
163,191,192
161,190,191
160,189,190
159,188,189
158,188,187
158,188,186
160,188,186
162,188,186
165,189,186
168,190,187
174,193,190
181,198,194
162,190,191
161,188,190
160,187,189
160,187,189
161,189,190
163,190,192
163,191,192
161,190,190
160,189,188
159,188,187
160,189,187
160,189,187
160,190,187
161,191,187
162,193,188
163,194,190
164,195,191
165,195,191
165,194,191
164,193,190
164,193,189
163,192,189
162,191,188
162,191,188
162,191,188
164,193,189
165,194,191
165,194,191
163,193,189
